0, 0
0.01, 0.0143307
0.02, 0.0286608
0.03, 0.0429898
0.04, 0.0573169
0.05, 0.0716417
0.06, 0.0859635
0.07, 0.100282
0.08, 0.114596
0.09, 0.128905
0.1, 0.143209
0.11, 0.157507
0.12, 0.171798
0.13, 0.186082
0.14, 0.200359
0.15, 0.214627
0.16, 0.228886
0.17, 0.243136
0.18, 0.257376
0.19, 0.271605
0.2, 0.285822
0.21, 0.300028
0.22, 0.314221
0.23, 0.328401
0.24, 0.342568
0.25, 0.35672
0.26, 0.370858
0.27, 0.38498
0.28, 0.399086
0.29, 0.413175
0.3, 0.427247
0.31, 0.441302
0.32, 0.455338
0.33, 0.469355
0.34, 0.483352
0.35, 0.49733
0.36, 0.511287
0.37, 0.525222
0.38, 0.539136
0.39, 0.553027
0.4, 0.566895
0.41, 0.58074
0.42, 0.594561
0.43, 0.608356
0.44, 0.622127
0.45, 0.635871
0.46, 0.64959
0.47, 0.663281
0.48, 0.676944
0.49, 0.69058
0.5, 0.704186
0.51, 0.717764
0.52, 0.731311
0.53, 0.744828
0.54, 0.758314
0.55, 0.771769
0.56, 0.785191
0.57, 0.798581
0.58, 0.811938
0.59, 0.82526
0.6, 0.838549
0.61, 0.851802
0.62, 0.865021
0.63, 0.878203
0.64, 0.891348
0.65, 0.904457
0.66, 0.917528
0.67, 0.930561
0.68, 0.943555
0.69, 0.95651
0.7, 0.969425
0.71, 0.982299
0.72, 0.995133
0.73, 1.00793
0.74, 1.02068
0.75, 1.03338
0.76, 1.04605
0.77, 1.05867
0.78, 1.07125
0.79, 1.08378
0.8, 1.09627
0.81, 1.10871
0.82, 1.12111
0.83, 1.13346
0.84, 1.14576
0.85, 1.15801
0.86, 1.17022
0.87, 1.18238
0.88, 1.19449
0.89, 1.20655
0.9, 1.21856
0.91, 1.23051
0.92, 1.24242
0.93, 1.25428
0.94, 1.26608
0.95, 1.27783
0.96, 1.28953
0.97, 1.30117
0.98, 1.31276
0.99, 1.32429
1, 1.33577
1.01, 1.3472
1.02, 1.35857
1.03, 1.36988
1.04, 1.38113
1.05, 1.39233
1.06, 1.40347
1.07, 1.41455
1.08, 1.42557
1.09, 1.43654
1.1, 1.44744
1.11, 1.45828
1.12, 1.46906
1.13, 1.47978
1.14, 1.49044
1.15, 1.50104
1.16, 1.51158
1.17, 1.52205
1.18, 1.53246
1.19, 1.5428
1.2, 1.55308
1.21, 1.5633
1.22, 1.57345
1.23, 1.58354
1.24, 1.59356
1.25, 1.60351
1.26, 1.6134
1.27, 1.62322
1.28, 1.63297
1.29, 1.64265
1.3, 1.65227
1.31, 1.66182
1.32, 1.6713
1.33, 1.68071
1.34, 1.69004
1.35, 1.69931
1.36, 1.70851
1.37, 1.71764
1.38, 1.72669
1.39, 1.73568
1.4, 1.74459
1.41, 1.75343
1.42, 1.76219
1.43, 1.77088
1.44, 1.7795
1.45, 1.78805
1.46, 1.79652
1.47, 1.80491
1.48, 1.81323
1.49, 1.82148
1.5, 1.82965
1.51, 1.83774
1.52, 1.84576
1.53, 1.8537
1.54, 1.86156
1.55, 1.86935
1.56, 1.87706
1.57, 1.88469
1.58, 1.89224
1.59, 1.89971
1.6, 1.9071
1.61, 1.91442
1.62, 1.92165
1.63, 1.92881
1.64, 1.93588
1.65, 1.94287
1.66, 1.94979
1.67, 1.95662
1.68, 1.96337
1.69, 1.97004
1.7, 1.97663
1.71, 1.98313
1.72, 1.98955
1.73, 1.99589
1.74, 2.00215
1.75, 2.00832
1.76, 2.01441
1.77, 2.02042
1.78, 2.02634
1.79, 2.03218
1.8, 2.03793
1.81, 2.0436
1.82, 2.04918
1.83, 2.05468
1.84, 2.06009
1.85, 2.06542
1.86, 2.07066
1.87, 2.07581
1.88, 2.08088
1.89, 2.08586
1.9, 2.09076
1.91, 2.09557
1.92, 2.10029
1.93, 2.10492
1.94, 2.10947
1.95, 2.11393
1.96, 2.1183
1.97, 2.12258
1.98, 2.12677
1.99, 2.13088
2, 2.1349
2.01, 2.13882
2.02, 2.14266
2.03, 2.14641
2.04, 2.15007
2.05, 2.15364
2.06, 2.15713
2.07, 2.16052
2.08, 2.16382
2.09, 2.16703
2.1, 2.17015
2.11, 2.17319
2.12, 2.17613
2.13, 2.17898
2.14, 2.18174
2.15, 2.18441
2.16, 2.18698
2.17, 2.18947
2.18, 2.19187
2.19, 2.19417
2.2, 2.19639
2.21, 2.19851
2.22, 2.20054
2.23, 2.20248
2.24, 2.20433
2.25, 2.20608
2.26, 2.20775
2.27, 2.20932
2.28, 2.2108
2.29, 2.21219
2.3, 2.21349
2.31, 2.21469
2.32, 2.21581
2.33, 2.21683
2.34, 2.21775
2.35, 2.21859
2.36, 2.21933
2.37, 2.21998
2.38, 2.22054
2.39, 2.22101
2.4, 2.22138
2.41, 2.22167
2.42, 2.22186
2.43, 2.22195
2.44, 2.22196
2.45, 2.22187
2.46, 2.22169
2.47, 2.22142
2.48, 2.22105
2.49, 2.22059
